x(cm)	y(cm)
0	34
-0.29	33.1
-0.59	32.19
-0.88	31.29
-1.18	30.38
-1.47	29.48
-1.76	28.57
-2.06	27.67
-2.35	26.76
-2.65	25.86
-2.94	24.95
-2.17	25.51
-1.4	26.07
-0.63	26.63
0.14	27.19
0.91	27.75
1.68	28.31
2.45	28.87
3.22	29.43
3.99	29.99
4.76	30.55
3.81	30.55
2.86	30.55
1.9	30.55
0.95	30.55
0	30.55
-0.95	30.55
-1.9	30.55
-2.86	30.55
-3.81	30.55
-4.76	30.55
-3.99	29.99
-3.22	29.43
-2.45	28.87
-1.68	28.31
-0.91	27.75
-0.14	27.19
0.63	26.63
1.4	26.07
2.17	25.51
2.94	24.95
2.65	25.86
2.35	26.76
2.06	27.67
1.76	28.57
1.47	29.48
1.18	30.38
0.88	31.29
0.59	32.19
0.29	33.1
